# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	352855
#@/user_id	5ccb50a0-6ba1-4de8-9045-d7436d20e87a
a 	啊	c=5862 d=5.05529 t=352657
zhe yang ji 	這樣及	c=1 d=1 t=22418
zhe yang jiu 	這樣就	c=1 d=1 t=4330
zhe yang jiu neng 	這樣就能	c=1 d=1 t=299795
zhe yang ke yi 	這樣可以	c=1 d=1 t=56604
zhe yang le 	這樣了	c=4 d=1 t=100101
zhe yang li jie 	這樣理解	c=1 d=1 t=10505
zhe yang ma 	這樣嗎	c=2 d=1 t=183468
zhe yang yao shi 	這樣要是	c=1 d=1 t=231270
zhe yao shi 	這要是	c=8 d=1 t=320393
zhe ye 	這也	c=16 d=1 t=345608
zhe ye jiu shi 	這也就是	c=1 d=1 t=32069
zhe ye shi 	這也是	c=5 d=1 t=323980
zhe ye suan 	這也算	c=1 d=1 t=347571
zhe yi 	這一	c=2 d=1 t=320429
zhe yi ban ben 	這一版本	c=1 d=1 t=162912
zhe yi bu 	這一步	c=1 d=1 t=304705
zhe yi ceng 	這一層	c=1 d=1 t=314830
zhe yi ge 	這一個	c=1 d=1 t=165155
zhe yi jing 	這已經	c=1 d=1 t=305898
zhe yi lu 	這一路	c=2 d=1 t=286291
zhe yi nian 	這一年	c=3 d=1 t=350463
zhe yi qi 	這一起	c=2 d=1 t=170754
zhe yi si 	這意思	c=4 d=1 t=319722
zhe yi tao 	這一套	c=1 d=1 t=235451
zhe yi tian 	這一天	c=4 d=1 t=256878
zhe yi tiao 	這一條	c=1 d=1 t=183998
zhe yi yuan 	這醫院	c=1 d=1 t=287633
zhe yi zao shang 	這一早上	c=1 d=1 t=78691
zhe yi zheng ge 	這一整個	c=1 d=1 t=19334
zhe ying gai 	這應該	c=5 d=1 t=330146
zhe ying gai shi 	這應該是	c=1 d=1 t=296790
zhe you 	這又	c=10 d=1 t=260167
zhe you 	這有	c=1 d=1 t=273306
zhe you ge 	這有個	c=1 d=1 t=237404
zhe yu ming 	這域名	c=1 d=1 t=111965
zhe yue 	這月	c=3 d=1 t=324662
zhe zen me 	這怎麼	c=2 d=1 t=132776
zhe zhang 	這張	c=4 d=1 t=345012
zhe zhang ka 	這張卡	c=1 d=1 t=298976
zhe zhang tu 	這張圖	c=2 d=1 t=329865
zhe zhen 	這真	c=1 d=1 t=289219
zhe zheng 	這幀	c=1 d=1 t=215533
zhe zhi 	這隻	c=0 d=0.1 t=16132
zhe zhi fu 	這支付	c=1 d=1 t=278734
zhe zhi shi 	這隻是	c=3 d=1 t=70054
zhe zhong 	這種	c=224 d=1.09909 t=352131
zhe zhong dian zi 	這種電子	c=1 d=1 t=326666
zhe zhong fu wu 	這種服務	c=1 d=1 t=41130
zhe zhong ge 	這種葛	c=1 d=1 t=291591
zhe zhong gong neng 	這種功能	c=1 d=1 t=314862
zhe zhong hua 	這種話	c=1 d=1 t=73359
zhe zhong jian 	這中間	c=1 d=1 t=242357
zhe zhong ming zi 	這種名字	c=1 d=1 t=56585
zhe zhong ming zi lai 	這種名字來	c=1 d=1 t=56564
zhe zhong qing kuang 	這種情況	c=1 d=1 t=298876
zhe zhong shang biao 	這種商標	c=1 d=1 t=23912
zhe zhong shi 	這種事	c=9 d=1 t=330480
zhe zhong shu ju 	這種數據	c=1 d=1 t=325839
zhe zhong xie 	這種鞋	c=2 d=1 t=236402
zhe zhong ye 	這種也	c=1 d=1 t=20221
zhe zhou 	這周	c=126 d=1.00004 t=352228
zhe zhou jiu 	這周就	c=1 d=1 t=282263
zhe zhou liu 	這週六	c=1 d=1 t=55160
zhe zhou mo 	這週末	c=1 d=1 t=91582
zhe zhou neng 	這周能	c=1 d=1 t=218948
zhe zhou ri 	這週日	c=1 d=1 t=288560
zhe zhou wu 	這週五	c=1 d=1 t=130867
zhe zhuan ye 	這專業	c=1 d=1 t=118658
zhe zi duan 	這字段	c=1 d=1 t=316058
zhe zi ti 	這字體	c=1 d=1 t=164017
zhe zong 	這總	c=2 d=1 t=315909
zhe zong zi 	這粽子	c=1 d=1 t=160554
zhei ban 	這辦	c=4 d=1 t=312772
zhei bian 	這編	c=1 d=1 t=247868
zhen 	振	c=1 d=1 t=182608
zhen 	朕	c=1 d=1 t=279676
zhen 	真	c=91 d=1 t=352164
zhen 	針	c=4 d=2.09126 t=328403
zhen 	鎮	c=1 d=1 t=89074
zhen 	陣	c=6 d=1 t=266911
zhen ai 	真愛	c=1 d=1 t=21211
zhen bu 	真不	c=1 d=1 t=145350
zhen bu cuo 	真不錯	c=1 d=1 t=78528
zhen bu dao 	真不到	c=1 d=1 t=344895
zhen bu hao kan 	真不好看	c=1 d=1 t=201066
zhen bu qu 	真不去	c=1 d=1 t=281912
zhen bu rong yi 	真不容易	c=1 d=1 t=86160
zhen bu shi 	真不是	c=2 d=1 t=269303
zhen bu xiang chi 	真不想吃	c=1 d=1 t=94206
zhen bu zhi dao 	真不知道	c=1 d=1 t=112174
zhen cheng 	真成	c=1 d=1 t=161584
zhen da 	真打	c=1 d=1 t=151590
zhen de 	真的	c=157 d=1.03223 t=348833
zhen dei qu 	真得去	c=1 d=1 t=337831
zhen di 	陣地	c=1 d=1 t=340864
zhen duan 	診斷	c=4 d=1.99005 t=238130
zhen dui 	針對	c=32 d=1 t=351244
zhen dui xing 	針對性	c=2 d=1 t=322091
zhen duo 	真多	c=1 d=1 t=333600
zhen fa chou 	真發愁	c=1 d=1 t=201196
zhen ge 	真個	c=3 d=1 t=266299
zhen gou 	真夠	c=1 d=1 t=140242
zhen hao 	真好	c=8 d=1 t=315571
zhen hua 	真話	c=1 d=1 t=111487
zhen hui 	真會	c=3 d=1 t=343107
zhen ji 	真機	c=1 d=1 t=85413
zhen ji zhi 	真機智	c=1 d=1 t=21068
zhen jia 	真假	c=4 d=1 t=60258
zhen jiu 	鍼灸	c=5 d=2.83712 t=287624
zhen kuai 	真快	c=3 d=0.1 t=290818
zhen mei 	真沒	c=3 d=1 t=252793
zhen mei you 	真沒有	c=2 d=1 t=205643
zhen mi 	縝密	c=1 d=1 t=223797
zhen ming 	真名	c=0 d=0.1 t=10009
zhen mo ji 	真墨跡	c=1 d=1 t=58367
zhen qing 	真情	c=1 d=1 t=49952
zhen ren 	真人	c=2 d=1 t=338624
zhen shi 	真實	c=29 d=3.59701 t=350705
zhen shi 	真是	c=9 d=1.39696 t=338638
zhen shi de 	真是的	c=2 d=1 t=320011
zhen suo 	診所	c=4 d=1 t=333816
zhen tai 	鎮臺	c=1 d=1 t=324532
zhen tan 	偵探	c=2 d=1 t=324533
zhen tou 	枕頭	c=1 d=1 t=340417
zhen xi 	珍惜	c=1 d=1 t=301354
zhen xue 	真雪	c=1 d=1 t=25460
zhen yao 	真要	c=3 d=1 t=263736
zhen yao shi 	真要是	c=1 d=1 t=212517
zhen you 	真有	c=2 d=1 t=234524
zhen zai 	賑災	c=1 d=1 t=317048
zhen zhen 	陣陣	c=1 d=1 t=165784
zhen zheng 	真正	c=19 d=1 t=336910
zhen zheng dao 	真正到	c=1 d=1 t=169157
zhen zheng de 	真正的	c=1 d=1 t=97232
zhen zheng gai 	真正改	c=1 d=1 t=256918
zhen zhong 	震中	c=1 d=1 t=178599
zhen zi 	陣子	c=3 d=1 t=299782
zheng 	掙	c=6 d=1 t=149889
zheng 	整	c=79 d=1.99562 t=352094
zheng 	正	c=54 d=1 t=351416
zheng 	蒸	c=2 d=1.01116 t=271332
zheng 	證	c=189 d=1.00001 t=347434
zheng 	鄭	c=1 d=1 t=302190
zheng a hou 	證啊厚	c=3 d=1 t=86118
zheng ban 	正版	c=3 d=1 t=265571
zheng ben 	正本	c=6 d=2.83244 t=200370
zheng bu kai 	睜不開	c=1 d=1 t=74766
zheng can 	正餐	c=1 d=1 t=77677
zheng ce 	政策	c=41 d=1 t=346858
zheng chang 	正常	c=99 d=1.45756 t=350813
zheng chang gong si 	正常公司	c=1 d=1 t=108925
zheng chang liu cheng 	正常流程	c=1 d=1 t=46154
zheng chang shang ban 	正常上班	c=1 d=1 t=328220
zheng chang shi yong 	正常使用	c=1 d=1 t=14473
zheng chu 	整齣	c=1 d=1 t=142293
zheng dian 	整點	c=3 d=1 t=298667
zheng dian he 	正電荷	c=0 d=0.1 t=160910
zheng dian he ge 	正電荷個	c=1 d=1 t=160911
zheng dong 	整棟	c=1 d=1 t=348268
zheng fa 	政法	c=1 d=1 t=341328
zheng fa 	蒸發	c=1 d=1 t=34101
zheng fan 	正反	c=3 d=1 t=214854
zheng fan mian 	正反面	c=3 d=1 t=143309
zheng fang xing 	正方形	c=1 d=1 t=50781
zheng fu 	政府	c=11 d=1.09348 t=352125
zheng fu ji guan 	政府機關	c=1 d=1 t=54010
zheng gai 	整改	c=4 d=1 t=342025
zheng gai de 	整改的	c=1 d=1 t=301215
zheng ge 	整個	c=67 d=1 t=336744
zheng gen 	正跟	c=2 d=1 t=240942
zheng gui 	正規	c=7 d=1 t=347720
zheng guo 	蒸鍋	c=2 d=1.01116 t=271331
zheng hang 	整行	c=1 d=1 t=120385
zheng hao 	正好	c=70 d=0.1 t=344774
zheng hao ming tian 	正好明天	c=1 d=1 t=270274
zheng hao shi 	正好是	c=3 d=1 t=269702
zheng hao ye 	正好也	c=1 d=1 t=78079
zheng hao you ge 	正好有個	c=1 d=1 t=264941
zheng he 	整合	c=14 d=1 t=330900
zheng he shi 	正合適	c=1 d=1 t=202907
zheng heng 	爭衡	c=1 d=1 t=223261
zheng hou 	症候	c=1 d=1 t=109033
zheng hu 	整户	c=1 d=1 t=345970
zheng jia 	正佳	c=2 d=1 t=220436
zheng jian 	證件	c=76 d=1.00001 t=349321
zheng jian ai 	證件哎	c=1 d=1 t=52405
zheng jian de 	證件的	c=1 d=1 t=124047
zheng jian hao 	證件好	c=1 d=1 t=122179
zheng jian hui 	證監會	c=2 d=1.53259 t=327830
zheng jian shang 	證件上	c=1 d=1 t=331006
zheng jiao 	蒸餃	c=1 d=1 t=340459
zheng jing 	正經	c=2 d=1 t=214024
zheng jiu 	拯救	c=2 d=1 t=345059
zheng ju 	證據	c=1 d=1 t=214109
zheng le 	整了	c=1 d=1 t=38804
zheng li 	整理	c=62 d=1.18178 t=342531
zheng li biao 	整理表	c=1 d=1 t=134554
zheng li cheng 	整理成	c=1 d=1 t=227898
zheng li ge 	整理個	c=3 d=1 t=323110
zheng li hao 	整理好	c=3 d=1 t=176382
zheng li hao le 	整理好了	c=1 d=1 t=114449
zheng li wan le 	整理完了	c=1 d=1 t=313108
zheng li xia 	整理下	c=7 d=1 t=258214
zheng li yi xia 	整理一下	c=1 d=1 t=250044
zheng long 	蒸籠	c=1 d=1 t=92834
zheng men 	正門	c=1 d=1 t=21253
zheng mian 	正面	c=7 d=1.74453 t=196919
zheng ming 	證明	c=23 d=1 t=351643
zheng qian 	掙錢	c=6 d=1 t=308607
zheng qiang hao sheng 	爭強好勝	c=1 d=1 t=267891
zheng qiu 	徵求	c=1 d=1 t=63486
zheng qu 	爭取	c=23 d=1 t=328565
zheng quan 	證券	c=1 d=1 t=350246
zheng que 	正確	c=5 d=1 t=284505
zheng que de 	正確的	c=2 d=1 t=304777
zheng que lv 	正確率	c=2 d=1 t=154334
zheng shi 	正事	c=2 d=1 t=191098
zheng shi 	正式	c=73 d=1.0011 t=352627
zheng shi 	正視	c=1 d=1 t=238119
zheng shi 	證實	c=1 d=1 t=254678
zheng shi huan jing 	正式環境	c=1 d=1 t=294415
zheng shi shang xian 	正式上線	c=1 d=1 t=298864
zheng shu 	整數	c=1 d=1 t=342331
zheng shu 	證書	c=95 d=1.46809 t=338441
zheng shu shang 	證書上	c=1 d=1 t=152759
zheng shu ying gai 	證書應該	c=1 d=1 t=189574
zheng tao 	整套	c=3 d=1 t=235248
zheng ti 	整體	c=19 d=1 t=318997
zheng ti gai nian 	整體概念	c=1 d=1 t=31454
zheng ti shang 	整體上	c=1 d=1 t=253971
zheng tu 	征途	c=1 d=1 t=95031
zheng wei 	正爲	c=1 d=1 t=244723
zheng wen 	正文	c=7 d=2.86018 t=116217
zheng wu 	政務	c=1 d=1 t=161195
zheng xia 	正下	c=1 d=1 t=323208
zheng xiang 	正向	c=2 d=1 t=324702
zheng xin 	徵信	c=1 d=1 t=223305
zheng yi 	正義	c=3 d=1 t=226590
zheng yue 	整月	c=1 d=1 t=203462
zheng yue 	正月	c=1 d=1 t=185737
zheng za 	證咋	c=1 d=1 t=88152
zheng zai 	正在	c=140 d=1 t=347055
zheng zai gei 	正在給	c=1 d=1 t=244066
zheng zai gen 	正在跟	c=1 d=1 t=183747
zheng zai guan 	正在關	c=1 d=1 t=185815
zheng zai qu 	正在去	c=1 d=1 t=19196
zheng zai zhao 	正在找	c=1 d=1 t=53919
zheng zai zhun bei 	正在準備	c=1 d=1 t=305112
zheng zai zuo 	正在做	c=1 d=1 t=65471
zheng zha 	掙扎	c=2 d=1.8311 t=179760
zheng zhao 	證照	c=1 d=1 t=85803
zheng zheng 	整整	c=3 d=1 t=223262
zheng zhou 	鄭州	c=5 d=1.68688 t=239524
zheng zhuang 	症狀	c=10 d=1.00025 t=239834
zheng zhun bei 	正準備	c=1 d=1 t=345137
zheng zong 	正宗	c=2 d=1 t=175151
zhi 	之	c=9 d=1.96561 t=349861
zhi 	值	c=21 d=1 t=342343
zhi 	只	c=133 d=1 t=351129
zhi 	執	c=28 d=1.00001 t=315606
zhi 	志	c=2 d=1 t=224456
zhi 	指	c=119 d=1 t=351228
zhi 	支	c=7 d=1 t=350943
zhi 	旨	c=1 d=1 t=97266
zhi 	止	c=1 d=1 t=32757
zhi 	至	c=1 d=1 t=118916
zhi 	致	c=3 d=1 t=282612
zhi an 	治安	c=2 d=0.1 t=291536
zhi an he 	治安和	c=1 d=1 t=291537
zhi bai 	直白	c=3 d=1 t=241403
zhi bai le 	直白了	c=1 d=1 t=16006
zhi ban 	值班	c=3 d=1 t=312625
zhi ban 	置辦	c=1 d=1 t=99733
zhi bao 	質保	c=1 d=1 t=239674
zhi ben 	直奔	c=1 d=1 t=46771
zhi biao 	指標	c=56 d=1 t=330710
zhi bo 	直播	c=234 d=1.00212 t=349310
zhi bo de 	直播的	c=1 d=1 t=218615
zhi bo jian 	直播間	c=10 d=1.94083 t=205886
zhi bo xiang mu 	直播項目	c=1 d=1 t=136068
zhi bo yuan 	直播源	c=4 d=1 t=213160
zhi bo zhong 	直播中	c=1 d=1 t=140980
zhi bu 	支部	c=1 d=0.514783 t=221133
zhi bu ding 	指不定	c=2 d=1 t=178054
zhi bu gai guo 	支部改過	c=1 d=1 t=221134
zhi bu guo 	只不過	c=2 d=1 t=218976
zhi bu zhi dao 	知不知道	c=1 d=1 t=323897
zhi chang 	職場	c=1 d=1 t=222307
zhi cheng 	支撐	c=3 d=1 t=151655
zhi cheng 	職稱	c=3 d=2.9458 t=151663
zhi chi 	只吃	c=2 d=1 t=50475
zhi chi 	支持	c=112 d=1 t=352838
zhi chi 	智齒	c=19 d=1 t=333201
zhi chi xia 	支持下	c=1 d=1 t=68011
zhi chu 	指出	c=2 d=1 t=137521
zhi chu 	支出	c=4 d=2.02198 t=140629
zhi chuang jian ai 	指創建哎	c=1 d=1 t=144388
zhi da song 	指大宋	c=1 d=1 t=115948
zhi dao 	之道	c=2 d=1 t=299597
zhi dao 	指導	c=10 d=1 t=290958
zhi dao 	直到	c=4 d=1 t=266849
zhi dao 	知道	c=214 d=1.26856 t=352692
zhi dao shen me 	知道什麼	c=1 d=1 t=207501
zhi dao shi 	知道是	c=2 d=1 t=197434
zhi dao wo 	知道我	c=1 d=1 t=217155
zhi dao zen me 	知道怎麼	c=1 d=1 t=256352
zhi de 	值得	c=8 d=1 t=335260
zhi de 	指的	c=6 d=1 t=332881
zhi di 	之地	c=3 d=1.84789 t=251146
zhi dian 	指點	c=4 d=1 t=316679
zhi ding 	制定	c=56 d=0.1 t=339763
zhi ding 	制訂	c=1 d=1 t=81583
zhi ding 	指定	c=11 d=1 t=296717
zhi ding 	置頂	c=1 d=1 t=254399
zhi ding he 	制定和	c=1 d=1 t=339764
zhi dong 	制動	c=0 d=0.1 t=36513
zhi du 	制度	c=8 d=1.9802 t=339763
zhi e ji 	只惡極	c=1 d=1 t=63563
zhi en 	之恩	c=0 d=0.1 t=93902
zhi en na ge 	之恩那個	c=1 d=1 t=93903
zhi fa 	執法	c=1 d=1 t=160294
zhi fa fan fa 	知法犯法	c=1 d=1 t=334038
zhi fang 	只放	c=2 d=1.94176 t=22673
zhi fang 	脂肪	c=1 d=1 t=203075
zhi fu 	支付	c=301 d=1.00124 t=351596
zhi fu bao 	支付寶	c=47 d=1 t=344505
zhi fu fen 	支付分	c=1 d=1 t=220945
zhi fu gei 	支付給	c=1 d=1 t=237989
zhi fu le 	支付了	c=1 d=1 t=156374
zhi fu pai zhao 	支付牌照	c=1 d=1 t=79501
zhi fu suo xu 	支付所需	c=1 d=1 t=84223
zhi fu ze 	只負責	c=1 d=1 t=324241
zhi gan 	質感	c=1 d=1 t=92968
zhi gao 	職高	c=1 d=1 t=330242
zhi gei 	只給	c=1 d=1 t=305873
zhi geng niao 	知更鳥	c=2 d=1.74826 t=211344
zhi gong 	職工	c=1 d=1 t=10333
zhi guan 	只管	c=1 d=1 t=218126
zhi guan 	直觀	c=4 d=1 t=218971
zhi guang 	之光	c=1 d=1 t=33250
zhi hang 	支行	c=5 d=1 t=249934
zhi hao 	只好	c=0 d=0.1 t=8374
zhi hou 	之後	c=236 d=1 t=351257
zhi hou 	滯後	c=4 d=1.00019 t=139249
zhi hou yi fen 	之後一份	c=1 d=1 t=307779
zhi hu 	支護	c=3 d=1 t=309722
zhi huan wang 	指環王	c=1 d=1 t=269422
zhi hui 	只會	c=5 d=1 t=336961
zhi hui 	指揮	c=1 d=1 t=158969
zhi hui 	智慧	c=40 d=1 t=266606
zhi hui ling shou 	智慧零售	c=5 d=1 t=242021
zhi ji 	之際	c=3 d=1 t=185253
zhi jia 	之家	c=1 d=1 t=190440
zhi jia 	指甲	c=1 d=1 t=206455
zhi jia 	支架	c=25 d=1 t=338925
zhi jia ge 	芝加哥	c=1 d=1 t=197931
zhi jian 	之間	c=27 d=1.01186 t=333242
zhi jian de 	之間的	c=2 d=1 t=132501
zhi jiao 	指教	c=1 d=1 t=17275
zhi jiao 	直角	c=1 d=1 t=89225
zhi jie 	直接	c=216 d=1 t=350471
zhi jie ei 	直接誒	c=1 d=1 t=224222
zhi jie gen 	直接跟	c=2 d=1 t=267310
zhi jie gen ta 	直接跟他	c=1 d=1 t=142045
zhi jie wen 	直接問	c=1 d=1 t=72634
zhi jie zai 	直接在	c=1 d=1 t=71480
zhi jie zou 	直接走	c=1 d=1 t=327044
zhi jin 	紙巾	c=5 d=1 t=115803
zhi jin 	至今	c=1 d=1 t=135481
zhi kou 	之口	c=1 d=1 t=296476
zhi lai 	只來	c=0 d=0.1 t=47197
zhi lai gong neng 	只來功能	c=5 d=1 t=149902
zhi le 	指了	c=2 d=1 t=344672
zhi lei 	之類	c=28 d=1 t=338042
zhi lei de 	之類的	c=21 d=1 t=333504
zhi leng 	製冷	c=1 d=1 t=113802
zhi li 	智利	c=1 d=1 t=116097
zhi li 	治理	c=5 d=1 t=315323
zhi li ceng 	治理層	c=1 d=1 t=19705
zhi lian 	之戀	c=1 d=1 t=141158
zhi lian 	智聯	c=1 d=1 t=221928
zhi liang 	質量	c=90 d=0.192089 t=322106
zhi liang bao gao 	質量報告	c=1 d=1 t=130431
zhi liang guan li 	質量管理	c=1 d=1 t=46734
zhi liang hao de 	質量好的	c=1 d=1 t=197911
zhi liang shi 	質量是	c=1 d=1 t=322107
zhi liao 	治療	c=9 d=1.97045 t=333754
zhi liao fang an 	治療方案	c=1 d=1 t=327319
zhi liao hou 	治療後	c=1 d=1 t=136018
zhi liao she bei 	治療設備	c=1 d=1 t=170130
zhi ling 	指令	c=0 d=0.1 t=159311
zhi liu xia 	只留下	c=1 d=1 t=99989
zhi lu wei ma 	指鹿爲馬	c=1 d=1 t=168897
zhi ma 	芝麻	c=22 d=1 t=268278
zhi ma xin yong 	芝麻信用	c=1 d=1 t=222712
zhi ming du 	知名度	c=1 d=1 t=191889
zhi nan 	指南	c=10 d=1 t=146858
zhi nei 	之內	c=2 d=1 t=237164
zhi nen 	稚嫩	c=2 d=1 t=313888
zhi neng 	只能	c=161 d=1.64274 t=351291
zhi neng 	智能	c=51 d=1.95123 t=293777
zhi neng 	職能	c=2 d=1 t=297522
zhi neng dai lai 	只能帶來	c=1 d=1 t=273657
zhi neng de 	只能的	c=2 d=1 t=90249
zhi neng hua 	智能化	c=2 d=1.94649 t=187002
zhi neng ji 	智能機	c=1 d=1 t=79928
zhi neng shi 	只能是	c=2 d=1 t=288303
zhi neng xie 	只能寫	c=1 d=1 t=67293
zhi neng xuan ze 	只能選擇	c=1 d=1 t=317944
zhi neng ying jian 	智能硬件	c=2 d=1.37158 t=170642
zhi neng yong 	只能用	c=3 d=1 t=232757
zhi ou 	止嘔	c=1 d=1 t=280339
zhi pai 	指派	c=1 d=1 t=290174
zhi qi 	之氣	c=2 d=1.00687 t=344691
zhi qia 	指卡	c=2 d=1 t=197344
zhi qian 	之前	c=1193 d=1.12411 t=352435
zhi qian 	值錢	c=2 d=1 t=336129
zhi qian ai 	之前哎	c=2 d=1 t=279148
zhi qian an 	之前安	c=1 d=1 t=323169
zhi qian bu shi 	之前不是	c=1 d=1 t=33149
zhi qian bu ye shi 	之前不也是	c=1 d=1 t=60101
zhi qian de 	之前的	c=15 d=1 t=323952
zhi qian ding 	之前定	c=1 d=1 t=173575
zhi qian dou 	之前都	c=1 d=1 t=93125
zhi qian dou shi 	之前都是	c=1 d=1 t=273038
zhi qian gai zhang 	之前蓋章	c=1 d=1 t=257925
zhi qian gei 	之前給	c=1 d=1 t=81917
zhi qian gen 	之前跟	c=2 d=1.99005 t=181144
zhi qian kan 	之前看	c=1 d=1 t=294515
zhi qian lian xi 	之前聯繫	c=1 d=1 t=229613
zhi qian mei 	之前沒	c=1 d=1 t=24393
zhi qian na 	之前那	c=1 d=1 t=242289
zhi qian shen qing guo 	之前申請過	c=1 d=1 t=196298
zhi qian shi 	之前是	c=8 d=1 t=245767
zhi qian tan 	之前談	c=1 d=1 t=5191
zhi qian wo men 	之前我們	c=1 d=1 t=37679
zhi qian ye you ba 	之前也有吧	c=1 d=1 t=120187
zhi qin 	執勤	c=8 d=1 t=281133
zhi qin a 	執勤啊	c=74 d=1 t=326773
zhi qiu 	只求	c=1 d=1 t=275855
zhi quan 	職權	c=0 d=0.1 t=340169
zhi quan bu jun 	職權不均	c=1 d=1 t=340170
zhi ri 	之日	c=11 d=1 t=343373
zhi ri ke dai 	指日可待	c=2 d=1 t=271227
zhi ri qi 	之日起	c=2 d=1 t=287986
zhi shang 	紙上	c=2 d=1 t=288521
zhi shao 	至少	c=41 d=1.57695 t=349724
zhi shao dei 	至少得	c=1 d=0.1 t=333492
zhi shao dei dao 	至少得到	c=1 d=1 t=333493
zhi shen qing 	只申請	c=1 d=1 t=14568
zhi sheng xia 	只剩下	c=1 d=1 t=57646
zhi shi 	只是	c=170 d=1 t=352482
zhi shi 	指示	c=2 d=1 t=154380
zhi shi 	知識	c=60 d=1 t=343356
zhi shi chan quan 	知識產權	c=1 d=1 t=134549
zhi shi ku 	知識庫	c=2 d=1 t=135622
zhi shi shuo 	只是說	c=1 d=1 t=12016
zhi shi xiang 	只是想	c=1 d=1 t=321469
zhi shu 	指數	c=1 d=1 t=140742
zhi shu 	直屬	c=3 d=1 t=283838
zhi shuo 	只說	c=3 d=1 t=166650
zhi si 	致死	c=1 d=1 t=241255
zhi tong 	止痛	c=3 d=1.97045 t=332677
zhi wai 	之外	c=4 d=1.00003 t=313979
zhi wang 	之王	c=1 d=1 t=189988
zhi wang 	指望	c=9 d=1 t=333577
zhi wang le 	指望了	c=1 d=1 t=195239
zhi wei 	只爲	c=1 d=1 t=283089
zhi wei 	職位	c=24 d=1 t=340167
zhi wen 	指紋	c=5 d=1 t=292244
zhi wu 	植物	c=4 d=1 t=330962
zhi xi 	知悉	c=1 d=1 t=23755
zhi xia 	之下	c=1 d=1 t=38663
zhi xian 	直線	c=1 d=1 t=325026
zhi xiang 	只想	c=2 d=1 t=346223
zhi xiang 	指向	c=25 d=1 t=329982
zhi xiao 	滯銷	c=2 d=1 t=151342
zhi xiao 	直銷	c=2 d=1 t=306038
zhi xing 	執行	c=25 d=1 t=351272
zhi xu yao 	只需要	c=26 d=1 t=343132
zhi yao 	只要	c=96 d=1.00004 t=349538
zhi yao 	製藥	c=2 d=1.90484 t=110509
zhi yao bu shi 	只要不是	c=1 d=1 t=75208
zhi yao neng 	只要能	c=5 d=1 t=285991
zhi yao shi 	只要是	c=15 d=1 t=316824
zhi ye 	之夜	c=1 d=1 t=326234
zhi ye 	職業	c=8 d=1.92774 t=342397
zhi yi 	之一	c=5 d=1 t=288306
zhi yi 	質疑	c=2 d=1 t=334749
zhi yin 	指引	c=1 d=1.09501 t=76217
zhi yin xia 	指引下	c=1 d=1 t=76218
zhi ying 	直營	c=4 d=1 t=315463
zhi ying dian 	直營店	c=4 d=1.90484 t=334725
zhi yong 	只用	c=3 d=1 t=285615
zhi you 	只有	c=132 d=1.12369 t=352087
zhi you ge 	只有個	c=1 d=1 t=67820
zhi you zhe ge 	只有這個	c=1 d=1 t=266039
zhi yu 	止於	c=1 d=1 t=37658
zhi yu 	至於	c=15 d=1 t=337284
zhi yuan 	志願	c=1 d=1 t=118729
zhi yuan 	支援	c=17 d=1 t=292061
zhi yuan xing yi xia 	指原型一下	c=1 d=1 t=320332
zhi yue 	制約	c=7 d=1 t=141663
zhi zai 	只在	c=4 d=1 t=247932
zhi zai 	旨在	c=3 d=1.3413 t=141971
zhi zao 	製造	c=5 d=1 t=182560
zhi ze 	職責	c=11 d=1 t=340265
zhi zhao 	執照	c=92 d=1.0245 t=339623
zhi zhao dao 	只找到	c=1 d=1 t=124702
zhi zhao le 	執照了	c=1 d=1 t=335888
zhi zhe 	指着	c=1 d=1 t=207200
zhi zhe 	智者	c=1 d=1 t=37659
zhi zhen 	指針	c=1 d=1 t=110636
zhi zhi 	紙質	c=5 d=1 t=199411
zhi zhu 	支柱	c=1 d=0.991366 t=87518
zhi zhu 	蜘蛛	c=1 d=1 t=226428
zhi zu 	知足	c=1 d=1 t=211281
zhi zun 	至尊	c=2 d=1.25924 t=54447
zhi zuo 	只做	c=3 d=1 t=327693
zhi zuo 	製作	c=9 d=1 t=327662
zhi zuo guan wang 	製作官網	c=1 d=1 t=236032
zhi zuo zheng 	製作證	c=1 d=1 t=204544
zhong 	中	c=268 d=1.00009 t=345761
zhong 	種	c=23 d=2.9458 t=351052
zhong 	終	c=1 d=1 t=346200
zhong 	腫	c=3 d=1.86936 t=139730
zhong 	重	c=7 d=1 t=243097
zhong 	钟	c=1 d=1 t=332518
zhong biao 	中標	c=1 d=1 t=167407
zhong cai 	仲裁	c=2 d=1 t=333994
zhong can 	中餐	c=1 d=1 t=182083
zhong ceng 	中層	c=2 d=1 t=343768
zhong chao 	中超	c=1 d=1 t=289754
zhong cheng 	忠誠	c=2 d=1.38289 t=232212
zhong chou 	重酬	c=1 d=1 t=254147
zhong da 	重大	c=3 d=1.97531 t=148607
zhong da wen ti 	重大問題	c=1 d=1 t=104835
zhong de 	中的	c=4 d=1 t=311772
zhong dian 	重點	c=20 d=1 t=320916
zhong dian shi 	重點是	c=1 d=1 t=182095
zhong dong 	中東	c=1 d=1 t=113225
zhong du 	中毒	c=1 d=1 t=43167
zhong duan 	中斷	c=1 d=1 t=336630
zhong duan 	終端	c=32 d=1 t=346265
zhong duo 	衆多	c=1 d=1 t=160748
